bridgeName,lon,lat
磺港溪四號橋,121.5028675,25.12410339
磺港溪三號橋,121.5029784,25.12514876
三合橋,121.5034437,25.126719
中和橋,121.5019153,25.1389024
鼎興橋,121.5547463,25.12086424
鄭厝橋,121.5716592,25.137915
鼎筆橋,121.5327774,25.15174289
復長橋,121.5031568,25.14323577
艦岩橋,121.5241312,25.1234452
健行橋,121.5119774,25.12035945
青簾橋,121.521331,25.14377506
清溪橋,121.5056126,25.14122996
中業橋,121.4957267,25.14506842
行義橋,121.5249532,25.14631314
名勝橋,121.5122751,25.13903561
雷隱橋,121.532984,25.16067986
徐公橋,121.495354,25.14598726
挹翠橋,121.5102384,25.14165395
土地公埔橋,121.5004,25.126355
紗帽橋,121.5338018,25.14878767
北投大屯橋,121.504454,25.14034122
福菱橋,121.4943668,25.1464657
峰頂橋,121.5357252,25.16057062
映竹橋,121.5227351,25.14939631
風溪橋,121.5230373,25.15047306
立農橋,121.5055614,25.12028111
西立橋,121.5055768,25.1202688
磺港溪二號橋,121.5031093,25.12828464
磺港溪一號橋,121.5033331,25.12933056
延壽橋,121.5037698,25.12997125
大公橋,121.5044845,25.13110879
新市橋,121.5028655,25.13303911
磺港橋,121.5009077,25.13628556
吉林橋,121.50133,25.137675
大度高架橋,121.467074,25.12321869
一德橋,121.4683947,25.13220488
光明橋,121.5025531,25.13581124
西安橋,121.5013207,25.12333584
石窟橋,121.5242551,25.12367168
公館橋,121.5080882,25.12653654
丹鳳橋,121.50948,25.126555
杏林一號橋,121.4992338,25.14078981
杏林二號橋,121.4982998,25.14225645
杏林四號橋,121.4961902,25.14336643
湯元橋,121.5109389,25.13738688
農機便橋,121.475487,25.132661
舊雙溪橋,121.4989505,25.11054885
杏林三號橋,121.4970755,25.14260051
水閘橋,121.4646507,25.11743511
文化橋,121.4983954,25.13763102
奇岩便橋,121.5016703,25.12364837
泉源一號橋,121.5235308,25.14596267
奇岩橋,121.5128311,25.12662073
水磨一號橋,121.4939056,25.15178473
水磨二號橋,121.4940707,25.15129539
永欣橋,121.5226315,25.12292883
東行義橋,121.530534,25.13178369
北投橋,121.50193,25.133512
開勝橋,121.5028811,25.14090725
銀星橋,121.5105501,25.13699248
無名橋185,121.5031238,25.14323841
無名橋106,121.5030728,25.14040465
小油坑橋,121.5443548,25.17610666
社子大橋,121.4977323,25.11160584
七星橋,121.5041839,25.13635346
中央北路四段棧橋,121.4662344,25.12682657
堉琪橋,121.5314854,25.12801098
麥帥二橋,121.5716214,25.05616699
玉成橋,121.5796657,25.05038638
松山橋,121.5800404,25.05150136
民權大橋,121.571856,25.06481489
麥帥一橋,121.5727126,25.05246205
正氣橋1(基隆路段-南向一),121.5689284,25.04860083
正氣橋2(基隆路段-北向),121.5681575,25.04729024
麥帥二橋(匝道2),121.5692332,25.05479142
麥帥二橋(匝道3),121.5703504,25.05376221
市民大道高架橋(主橋),121.5383205,25.0477365
信義聯絡高架(一),121.5724037,25.03260449
無名橋140,121.568801,25.0268295
無名橋166,121.571293,25.0242335
無名橋139,121.5685935,25.0271955
信義聯絡高架(二),121.5774996,25.02197695
信義聯絡高架(三),121.5771251,25.02198665
信義西大排,121.573005,25.0215705
市民大道高架橋(匝道F),121.559163,25.045637
市民大道高架橋(匝道H),121.566762,25.0453625
南港橋,121.6207814,25.05487636
南究橋,121.6122927,25.04633593
力行橋,121.6169832,25.05163257
弘道橋,121.6165027,25.04877005
顯應橋,121.6155987,25.04550688
福山橋,121.6176151,25.04610874
國興橋,121.6192266,25.04328217
合順橋,121.619496,25.0430665
宜興橋,121.6208679,25.0412079
舊莊橋,121.6228106,25.03984187
永庭橋,121.6239953,25.03888664
芳園橋,121.6249457,25.03772388
南深橋,121.6158418,25.04899878
南研橋,121.6141301,25.04889514
勤力橋,121.6122695,25.04742331
家驊橋(中研院內),121.6124214,25.04250153
四分橋,121.6163445,25.03705113
公墓橋,121.6118826,25.03431014
雄獅橋,121.6101288,25.0338271
永思橋,121.6140772,25.03584833
胡適橋(中研院內),121.6140634,25.04113042
世杰橋(中研院內),121.6145644,25.03994697
南港重陽路無名橋,121.5966106,25.05556589
民權橋,121.6179687,25.04549608
舫妃橋,121.6167982,25.03641355
成功橋,121.5921728,25.05902133
成美橋,121.5827943,25.05382899
南湖大橋,121.6120908,25.06316023
南深路棧道橋,121.6230354,25.0275035
環東高架橋(匝道D),121.5769325,25.0556544
環東高架橋(匝道E),121.6172329,25.06181958
環東高架橋(匝道F),121.6195906,25.06103427
舊環南高架,121.5018813,25.04435983
中興橋引道,121.501515,25.04414
光復橋引道,121.49121,25.024765
華江橋引道,121.49286,25.03546
萬板大橋引道,121.48942,25.03021
忠孝橋引道,121.5065267,25.04890513
華中橋,121.4958425,25.01284733
華翠大橋引道,121.4905666,25.0286105
大湖環湖步道,121.606315,25.07913
洲美高架橋(福國交流道段及洲美堤防段),121.4988451,25.10604663
洲美高架橋(磺港溪至大業路段),121.4998589,25.11772058
無名橋136(非北市府管理橋梁),121.58,25.0521
無名橋292,121.6058116,25.02812127
寶樹橋,121.6601535,25.0253742
社子大橋匝道N,121.4948561,25.11032756
社子大橋匝道S,121.4938131,25.11120265
建國高架橋(匝道11),121.536891,25.050175
建國高架橋(匝道2),121.5376115,25.027813
建國高架橋(匝道3),121.5379895,25.03569
建國高架橋(匝道4),121.537755,25.0369315
基隆路高架匝道H,121.547261,25.01965
基隆路高架匝道G,121.5425305,25.0156705
基隆路高架匝道E,121.538167,25.011986
基隆路高架匝道C,121.5345845,25.009759
基隆路高架匝道F,121.5341275,25.0093405
基隆路高架匝道D,121.5355375,25.0106625
基隆路高架匝道B,121.533426,25.009053
基隆路高架匝道A,121.53341,25.009261
新生高架(匝道A),121.5303328,25.04511885
新生高架(匝道B),121.5305441,25.04509485
新生高架(匝道C),121.5303676,25.04737515
新生高架(匝道D),121.5307404,25.04716145
新生高架(匝道E),121.528336,25.0501385
新生高架(匝道F),121.5284875,25.0502534
新生高架(匝道G),121.5274649,25.0560229
新生高架(匝道H),121.5276788,25.0561304
新生高架(匝道I),121.527743,25.06674095
新生高架(匝道J),121.5278973,25.06414545
新生高架(匝道K),121.5275106,25.07146795
新生高架(匝道L),121.5280031,25.0695908
新生高架(匝道M),121.5254153,25.0755792
新生高架(匝道N),121.5259563,25.0741875
建國高架橋(匝道14),121.5370745,25.060255
建國高架橋(匝道15),121.5369075,25.0601715
建國高架橋(匝道16),121.535129,25.0665
建國高架橋(匝道17),121.5340775,25.0683775
水源堤防道路匝道E - 師大路,121.5231754,25.02051464
水源堤防道路匝道D - 中正橋,121.5174157,25.02130657
水源高架環道A,121.5334693,25.00846811
水源高架匝道B,121.533931,25.00766058
水源高架匝道C,121.5339985,25.00794194
水源高架匝道D,121.5357115,24.9989475
水源高架匝道E,121.535498,24.9978255
立德路2號棧道,121.471588,25.1244775
大度貴子坑便橋,121.4860615,25.1218465
正氣橋3(南京東路引橋段),121.5689722,25.0513375
正氣橋4(塔悠路聯絡道-南向),121.5700361,25.05295833
正氣橋5(塔悠路聯絡道-北向),121.5702103,25.05291295
正氣橋6(圓環段一_塔悠路-基隆路),121.5700764,25.05131667
正氣橋7(圓環段二_南京東路-麥帥一橋),121.5704473,25.05153889
正氣橋8(圓環段三_基隆路-麥帥一橋),121.5707528,25.05130139
正氣橋9(市民大道-基隆路北向),121.5669246,25.04578678
正氣橋10(基隆路段-南向二),121.5679155,25.04703429
水源堤防道路匝道A - 華中橋水門右轉,121.4971499,25.01615324
水源堤防道路匝道B - 果菜市場棧橋,121.4970858,25.01636233
水源堤防道路匝道C - 富民街,121.5015607,25.01857055
新環河高架(匝道A),121.5061295,25.051096
新環河高架(匝道B),121.5062102,25.0505038
新環河高架(匝道C),121.5062875,25.05081645
新環河高架(匝道D),121.5065236,25.0500459
新環河高架(匝道E),121.5050492,25.0490979
新環河高架(匝道F),121.5042019,25.048022
新環河高架(匝道H),121.5052068,25.0479307
新環河高架(匝道L1),121.5011838,25.04514185
新環河高架(匝道L2),121.500347,25.0440095
新環河高架(匝道N),121.5075129,25.05392135
新環河高架(匝道R),121.4900903,25.0258496
新環河高架(匝道U),121.5053766,25.04888525
新環河高架(匝道X),121.4955513,25.0175007
新環河高架(匝道Y),121.4947048,25.0169635
建國高架橋(匝道12),121.536975,25.053781
建國高架橋(匝道13),121.5366895,25.053193
辛亥高架橋(匝道C),121.535419,25.0225685
辛亥高架橋(匝道D),121.53547,25.022361
洲美高架橋(福國交流道及洲美堤防段_匝道A),121.4989424,25.1004837
建國高架橋(匝道5),121.537929,25.0397735
建國高架橋(匝道6),121.5379465,25.039678
建國高架橋(匝道7),121.5365105,25.043525
建國高架橋(匝道8),121.5368425,25.043523
建國高架橋(匝道9),121.53654,25.0468225
建國高架橋(匝道10),121.5368255,25.0467565
洲美高架橋(福國交流道及洲美堤防段_匝道B),121.4987775,25.10140464
洲美高架橋(福國交流道及洲美堤防段_匝道C),121.4992734,25.10277284
洲美高架橋(福國交流道及洲美堤防段_匝道D),121.4990063,25.10346601
洲美高架橋(福國交流道及洲美堤防段_匝道E),121.4987843,25.10941572
洲美高架橋(磺港溪至大業路段_匝道G),121.4996831,25.11848507
洲美高架橋(磺港溪至大業路段_匝道H),121.499433,25.12211938
環東高架(主線1),121.5747265,25.0535435
環東高架(主線2L),121.580394,25.0566625
環東高架(主線2R),121.5804975,25.0565395
環東高架(主線3),121.585938,25.0595435
環東高架(主線4),121.5893775,25.059853
環東高架(主線5),121.593089,25.0595695
環東高架(主線6),121.6025245,25.0602315
環東高架(主線7),121.613655,25.062189
環東高架(主線8),121.6172575,25.062575
大直橋(匝道R),121.5462527,25.077469
永福橋(匝道B),121.528065,25.0123845
環東高架(匝道GL),121.5749515,25.05373
環東高架(匝道GR),121.5750455,25.0536225
環東高架(匝道ML),121.5749515,25.05373
環東高架(匝道MR),121.5750455,25.0536225
榮華三路便橋(人行),121.5256,25.112184
環東高架(主線9L),121.619578,25.06107
環東高架(主線10),121.6213095,25.059184
環東高架(匝道H),121.611527,25.06155
環東高架(匝道I),121.6172575,25.062575
環東高架(主線9R),121.619477,25.0610165
華興橋(人行),121.5226753,25.11079425
木棧便橋(自行車道)-2,121.5721525,24.994831
文林橋,121.5179643,25.10203323
中正承德棧橋,121.5156457,25.0903008
士林重陽橋機車引道彎度過大改善工程(RAMP A),121.5041627,25.08648578
士林重陽橋機車引道彎度過大改善工程(RAMP B),121.5054486,25.08451083
大度路3段棧橋,121.467782,25.1233815
虎源橋,120.353605,23.02414
無名橋(V22-730),120.346455,23.31667
無名橋(V26-730),120.33234,23.327415
無名橋(V4-730),120.31795,23.318135
崙頂橋,120.27935,23.01945
豐榮橋,120.297665,23.03381
豐榮1號橋,120.297735,23.035385
無名橋(V24-730),120.331945,23.32552
無名橋(V21-730),120.335415,23.32313
無名橋(N8-730),120.301465,23.301575
北勢橋-712,120.284895,23.05076
林坑橋,120.297245,22.902115
三號橋,120.08295,23.1952
民共橋,120.282045,22.939045
西勢橋,120.276255,23.01917
下甲橋,120.2887,23.054815
新圍東橋,120.15887,23.29378
無名橋(N6-712),120.384425,23.01583
鯤江橋,120.131985,23.28873
佛顓橋,120.32551,23.025395
冷水埤橋,120.3199,23.03905
煥昌橋,120.1823,23.242725
大潭南橋,120.132055,23.185115
無名橋(N10-712),120.365345,23.06033
無名橋(N2-710),120.2670779,23.0333611
杞舍橋,120.3122,22.94
無名橋(N3-712),120.35787,23.01827
無名橋(N1-711),120.278205,22.99038
無名橋(N2-711),120.28285,22.9513
無名橋(N1-712),120.36446,23.050455
無名橋(N1-725),120.13918,23.22791
牛港橋,120.406795,23.072265
無名橋(N9-712),120.366935,23.05734
頂店橋,120.378285,23.07342
離子尾橋,120.30891,23.04533
無名橋(N7-712),120.384085,23.016125
雙春橋,120.136965,23.299435
無名橋(N5-725),120.1669,23.19513
無名橋(N8-725),120.14171,23.206295
杞舍一號橋,120.30955,22.94314
知義橋,120.32073,23.02908
風空橋B,120.36861,23.01005
後鎮橋,120.31101,23.33032
長平二號橋,120.09484,23.214135
新營陸橋5,120.320215,23.320225
大埤橋-726,120.19867,23.24489
無名橋N3-711(溝仔尾橋),120.284525,22.91059
雙春六號橋,120.120625,23.29912
無名橋(N5-712),120.384835,23.015215
埔尾橋-724,120.15141,23.15647
松崙橋,120.37353,23.04729
無名橋(N10-730),120.294345,23.299385
太子一號橋,120.27216,23.29175
無名橋(N7-730),120.30652,23.30486
無名橋(N2-712),120.29959,23.022625
新豐一號橋,120.329295,23.02313
雙春七號橋,120.12809,23.299
營後橋,120.20028,23.20849
瓦寮橋,120.21847,23.2294
百福橋,120.18961,23.232085
二港橋(舊),120.195405,23.251775
無名橋(V6-730),120.31946,23.31791
錦湖橋,120.1712604,23.30407131
荃萊坑橋(原王萊坑橋),120.41465,23.063925
鄉界橋-725,120.13352,23.193935
明達橋,120.27426,23.31077
無名橋(N8-712),120.383305,23.017385
長平橋,120.097195,23.21701
龍雄二號橋,120.098355,23.114415
無名橋(V7-730),120.321415,23.315375
下看坪橋,120.15166,23.119925
茄苳橋-712,120.34974,23.034995
十份橋,120.1121,23.098665
新豐三號橋,120.329395,23.010245
無名橋(N12-712),120.291,23.03987
無名橋(18-725),120.090075,23.20179
無名橋(N2-727),120.14932,23.293515
永豐橋-724,120.127885,23.094565
無名橋(N6-725),120.168235,23.195035
大坑橋-712,120.37159,23.010165
新豐二號橋,120.332885,23.016945
中崙橋,120.352415,23.026805
無名橋(N13-730),120.331765,23.323235
太子宮橋,120.2718,23.30928
新興橋-730,120.27589,23.28829
長平一號橋,120.092865,23.213435
大苓橋,120.3021,22.90868
無名橋(N10-725),120.12055,23.1944
民族橋,120.318465,23.30895
無名橋(N2-730),120.319975,23.30922
太子三號橋,120.269765,23.294735
龍山橋-724,120.116265,23.137395
樹林橋,120.15642,23.112435
無名橋(N13-712),120.28815,23.044705
