time,magnitude,longitude,Latitude,depth,rainfall
2021-07-14 06:52:04,5.2,121.7300,23.8900,10.00,0.0
2021-07-08 06:11:55,5.1,121.6800,23.8800,10.00,0.0
2021-07-07 21:38:27,4.3,121.6600,23.8700,7.00,0.0
2021-07-07 19:24:58,5.3,121.6600,23.8800,9.00,0.0
2021-06-23 13:40:25,4.5,121.5000,24.0700,21.00,8.0
2021-06-20 22:50:13,4.4,121.5200,23.7800,10.00,4.5
2021-06-12 05:58:58,4.9,121.1400,22.6400,10.00,1.5
2021-05-26 00:48:00,4.3,121.5300,23.9600,21.00,0.5
2021-05-08 05:24:16,4.3,120.8500,22.6600,10.00,0.5
2021-04-28 06:10:53,4.2,120.9500,23.1400,12.00,1.0
2021-04-18 22:14:38,6.1,121.4300,23.9400,5.00,4.5
2021-04-18 22:11:39,5.6,121.5300,23.9200,7.00,0.0
2021-04-07 21:19:35,4.2,121.6000,23.8100,20.00,0.0
2021-03-04 22:24:56,4.3,122.3600,24.7500,10.00,0.0
2021-02-22 09:50:47,4.5,121.8900,22.4200,75.00,0.0
2021-02-18 02:38:47,4.6,121.4100,22.2300,16.00,0.0
2021-02-09 00:58:01,5.3,122.1200,24.3200,20.00,0.0
2021-02-09 00:56:31,4.0,122.4300,24.3200,20.00,0.0
2021-01-28 15:29:31,4.5,121.1200,22.4900,10.00,6.0
2021-01-25 19:39:22,4.0,122.2700,24.8300,95.00,0.0
2021-01-17 07:10:56,5.1,121.4400,22.4400,20.00,0.0
2021-01-10 11:23:29,4.3,121.4900,23.7700,11.00,0.0
2021-01-09 19:35:50,5.1,122.2100,24.7000,80.00,0.0
2021-01-02 21:26:47,4.4,122.2400,24.0700,24.00,0.5
2020-12-11 02:15:08,4.4,122.0600,24.5300,49.00,21.5
2020-12-10 21:19:58,5.8,121.9900,24.7400,80.00,16.5
2020-12-10 13:29:36,4.7,121.6600,23.4400,18.00,1.5
2020-11-29 21:42:14,4.4,122.2800,24.1400,32.00,3.0
2020-11-16 15:19:14,4.6,121.2300,22.0600,44.00,0.5
2020-11-06 09:40:15,4.9,122.1600,23.1300,15.00,59.0
2020-11-06 02:36:11,4.7,121.4500,22.5800,17.00,53.0
2020-10-17 23:03:14,4.9,120.3500,23.3300,12.00,2.5
2020-10-12 23:39:43,4.3,122.0100,24.5200,9.00,38.0
2020-09-30 12:37:18,5.0,122.1400,24.8500,116.00,0.0
2020-09-29 09:14:16,4.8,121.0600,22.3100,14.00,0.0
2020-09-29 04:50:53,5.0,121.1000,22.2900,13.00,0.0
2020-09-23 12:00:01,3.7,121.4700,23.3600,13.00,0.0
2020-09-21 07:54:47,4.4,121.6700,22.4200,6.00,13.5
2020-09-17 09:37:51,4.3,121.4300,23.0100,15.00,0.0
2020-08-19 11:13:32,4.3,120.3500,23.2500,13.00,0.5
2020-08-11 09:01:06,4.2,121.9100,24.7300,64.00,0.0
2020-07-26 20:52:27,5.5,122.4800,24.2700,50.00,0.0
2020-07-09 11:24:22,4.3,121.7400,24.1700,18.00,0.0
2020-06-29 20:52:47,4.7,122.3400,24.3000,60.00,0.0
2020-06-27 07:27:45,4.4,120.8600,23.0700,10.00,62.5
2020-06-14 04:18:59,5.5,122.4100,24.2900,27.00,0.0
2020-06-11 09:38:27,4.6,122.4300,24.5500,70.00,0.0
2020-06-07 09:49:23,4.0,121.6700,24.1200,11.00,95.5
2020-05-30 21:02:31,4.0,121.4600,24.1400,10.00,0.0
2020-05-29 03:34:23,4.2,120.8000,23.6300,26.00,36.0
2020-05-25 06:31:27,4.8,122.1800,24.2800,10.00,0.5
2020-05-03 11:24:40,5.4,121.6000,23.2900,40.00,0.0
2020-04-12 19:36:39,4.2,122.2900,24.0300,24.00,0.5
2020-04-09 07:49:18,4.4,121.9500,24.2700,24.00,0.0
2020-02-26 13:34:14,3.8,121.6800,23.8700,23.00,0.5
2020-02-25 19:14:02,4.9,121.4500,24.4200,15.00,0.0
2020-02-19 13:27:45,4.3,121.5900,23.8700,9.00,0.0
2020-02-16 03:20:13,4.5,121.6300,23.8200,11.00,5.0
2020-02-15 19:05:01,4.7,121.5300,23.8600,10.00,0.0
2020-02-15 19:00:07,5.4,121.4900,23.9500,10.00,1.0
2020-02-14 05:38:41,4.2,121.3200,22.3600,20.00,0.0
2020-02-14 01:49:19,4.5,122.1400,24.2200,29.00,0.0
2020-02-04 01:02:56,4.6,121.5600,23.5900,24.00,0.0
2020-01-31 14:09:39,4.2,122.0500,24.8600,10.00,0.0
2020-01-06 14:53:56,4.6,120.2900,23.4000,10.00,0.0
2020-01-01 03:10:10,4.7,121.7300,24.0600,13.00,2.5
2019-12-16 19:25:57,4.5,121.8200,24.5500,43.00,0.0
2019-11-25 09:32:42,4.5,121.7700,24.0100,10.00,0.0
2019-11-03 03:26:33,4.2,122.0600,24.3800,23.00,0.0
2019-10-08 01:17:05,4.3,122.4800,24.7000,7.00,13.5
2019-09-10 14:08:03,4.6,121.8800,24.0000,9.00,0.0
2019-09-03 08:47:30,4.3,121.6000,23.7100,7.00,1.5
2019-08-31 15:50:20,4.1,121.6400,23.0900,10.00,2.5
2019-08-18 12:05:14,5.0,121.5700,23.7400,6.00,18.5
2019-08-17 22:52:07,4.1,121.5400,23.7400,9.00,1.5
2019-08-08 05:28:02,6.4,121.9600,24.5200,30.00,46.5
2019-08-06 09:31:30,4.5,121.6200,23.6400,10.00,10.0
2019-08-06 09:19:48,4.9,121.7000,23.6100,13.00,2.5
2019-08-03 06:24:44,4.8,121.5800,23.6300,5.00,0.5
2019-08-02 21:53:09,4.5,121.6100,23.6600,7.00,0.0
2019-07-26 14:39:56,4.0,121.8000,24.7700,60.00,0.0
2019-07-16 19:12:30,3.7,122.4900,24.2200,60.00,0.0
2019-07-09 02:35:35,4.4,122.4800,23.8200,9.00,0.0
2019-06-30 03:44:11,4.8,122.3100,22.4300,30.00,0.0
2019-06-06 03:27:18,3.8,121.7400,23.7800,20.00,0.0
2019-06-04 17:46:16,5.8,121.7500,22.8200,9.00,0.0
2019-05-31 23:53:18,4.2,120.5800,22.8900,27.00,3.5
2019-05-23 14:12:49,4.5,121.5700,24.0200,15.00,28.5
2019-05-23 04:41:27,4.1,122.1600,23.7300,18.00,24.0
2019-05-22 09:37:24,4.0,121.6700,23.9600,20.00,0.5
2019-05-13 16:55:20,3.9,121.9300,24.7300,61.00,1.0
2019-04-18 13:01:05,6.7,121.6500,24.0200,24.00,5.5
2019-04-10 06:57:52,4.0,121.9400,24.2100,23.00,0.0
2019-04-10 04:24:13,4.3,121.6500,23.9300,10.00,3.5
2019-04-09 23:13:22,5.0,121.6100,23.9600,10.00,0.0
2019-04-08 14:58:10,4.4,121.4900,22.0500,11.00,0.0
2019-04-04 09:56:55,5.1,120.8500,22.9900,10.00,0.0
2019-04-03 09:52:56,5.7,120.8700,22.9500,12.00,0.0
2019-04-01 10:54:36,4.3,122.2200,24.9500,100.00,3.5
2019-03-19 12:01:34,3.6,121.8900,24.8000,77.00,0.1
2019-03-14 05:07:22,4.3,121.4200,23.0400,15.00,0.0
2019-03-13 12:32:34,4.6,121.6400,23.6500,24.00,8.5
2019-03-08 10:32:14,5.3,121.3400,22.4600,11.00,9.0
2019-02-15 22:08:06,4.1,121.8100,23.8100,32.00,0.0
2019-02-13 02:23:02,4.1,121.6000,23.7500,6.00,4.5
2019-02-13 00:39:02,4.1,122.4300,24.9400,9.00,0.0
2019-02-08 00:52:05,4.6,120.6100,23.2800,24.00,0.0
2019-01-30 23:14:54,4.3,120.3700,22.0200,8.00,0.0
2019-01-30 13:21:34,5.2,122.4300,23.7700,20.00,0.0
2019-01-22 11:19:25,4.5,121.4200,22.2400,16.00,0.5
2019-01-08 20:16:45,4.7,121.6400,23.2000,30.00,0.0
2019-01-04 02:02:49,4.4,121.0400,22.9000,10.00,0.0
2018-12-16 05:21:05,5.2,121.8000,23.7100,26.00,30.0
2018-12-12 21:24:24,4.6,121.6000,23.9300,18.00,0.5
2018-12-09 23:15:41,4.8,121.5700,24.0200,21.00,1.0
2018-11-20 00:31:33,3.8,121.8700,24.5400,11.00,14.5
2018-11-19 22:40:16,4.0,121.9000,24.3200,23.00,0.0
2018-11-19 14:19:00,4.4,122.4800,23.9600,16.00,0.0
2018-10-10 17:43:11,4.6,122.1100,24.9000,10.00,168.5
2018-08-18 08:15:17,4.7,120.9400,24.0600,10.00,16.0
2018-08-17 18:09:42,4.5,121.0300,24.0200,19.00,32.5
2018-08-02 21:38:18,4.4,120.6700,23.6700,18.00,2.0
2018-07-14 02:38:38,4.7,121.2500,22.9600,4.00,0.0
2018-07-03 17:20:55,4.3,120.9200,23.1800,6.00,3.0
2018-07-02 15:26:10,4.3,120.4400,23.4600,15.00,174.0
2018-06-16 04:53:54,4.1,121.8500,24.6300,79.00,0.0
2018-06-12 04:52:29,4.6,121.7000,23.9600,11.00,0.0
2018-06-11 23:42:06,4.3,121.7400,23.9500,8.00,0.5
2018-06-02 10:01:10,4.3,121.0200,23.9000,18.00,0.0
2018-06-02 01:43:26,4.1,121.5300,23.9300,16.00,2.0
2018-05-31 09:03:17,4.9,121.3400,22.7700,9.00,0.0
2018-05-19 11:09:07,4.2,122.2300,24.9400,24.00,0.0
2018-05-12 12:17:45,3.8,121.7400,23.8500,39.00,0.0
2018-05-02 07:47:04,5.2,122.2900,23.9700,15.00,0.5
2018-04-29 15:02:37,4.3,121.0500,22.3300,8.00,0.0
2018-04-27 13:55:54,4.2,121.0000,22.3500,17.00,2.8
2018-04-24 01:10:31,4.2,122.4500,23.9100,15.00,0.0
2018-04-21 18:56:54,4.0,121.6600,23.1100,8.00,0.0
2018-04-16 21:48:59,4.4,121.3700,23.0500,18.00,0.0
2018-03-29 08:17:50,4.9,120.9700,24.0800,6.00,0.0
2018-03-28 18:29:57,3.9,121.9600,24.6700,66.00,0.1
2018-03-22 22:27:51,4.4,120.5900,23.6500,11.00,0.0
2018-03-20 17:22:56,5.1,120.5200,23.3300,14.00,1.5
2018-03-14 18:48:41,4.4,122.0700,24.1200,6.00,1.0
2018-03-04 01:35:51,4.6,121.8600,24.2300,9.00,1.0
2018-02-26 02:28:40,5.0,121.9700,24.4300,17.00,0.0
2018-02-22 07:10:40,4.9,121.6600,23.5000,26.00,5.0
2018-02-19 22:47:00,4.9,121.6300,24.6100,59.00,0.0
2018-02-19 03:21:49,4.2,121.1200,23.9200,27.00,0.0
2018-02-10 02:43:09,4.5,121.8300,24.0000,10.00,0.5
2018-02-08 11:06:04,4.2,121.6200,23.9500,6.00,5.0
2018-02-08 08:54:17,4.9,121.6200,23.9400,8.00,5.5
2018-02-07 23:21:30,6.1,121.7900,24.0700,12.00,1.0
2018-02-07 22:19:20,4.6,121.7800,23.9200,10.00,17.0
2018-02-07 21:06:40,4.8,121.7800,24.0700,11.00,1.0
2018-02-07 19:13:05,5.0,121.7900,23.9800,13.00,17.0
2018-02-07 11:36:18,4.8,121.7400,24.0500,11.00,2.0
2018-02-07 10:18:04,4.8,121.7100,24.0700,8.00,2.0
2018-02-07 07:43:53,4.6,121.6200,24.0300,7.00,2.0
2018-02-07 07:11:43,4.5,121.6800,24.0400,6.00,2.0
2018-02-07 04:56:23,4.6,121.6800,24.0700,6.00,2.0
2018-02-07 03:36:37,4.1,121.7100,23.9800,9.00,17.0
2018-02-07 03:15:30,5.9,121.6900,24.0200,10.00,2.0
2018-02-07 02:07:40,5.2,121.6800,24.0500,10.00,2.0
2018-02-07 02:00:13,5.2,121.7400,24.1000,10.00,1.0
2018-02-07 00:17:58,4.4,121.5900,24.0100,8.00,2.0
2018-02-06 23:50:42,6.5,121.7100,24.1300,11.00,0.5
2018-02-06 16:36:50,4.6,121.7200,24.1500,10.00,0.0
2018-02-06 13:09:14,4.8,121.7500,24.1600,7.00,0.0
2018-02-05 23:58:42,4.8,121.7000,24.0800,7.00,6.0
2018-02-04 22:13:12,5.5,121.7500,24.1600,10.00,5.5
2018-02-04 22:10:52,4.1,121.7700,24.2200,7.00,1.5
2018-02-04 21:56:41,6.4,121.7200,24.2000,10.00,5.5
2018-02-04 21:12:50,4.7,121.9000,24.1500,7.00,1.0
2018-01-27 00:31:30,3.9,120.9800,22.9600,8.00,3.0
2017-12-13 07:17:38,4.1,122.4000,24.0400,18.00,99.0
2017-11-24 04:55:32,4.2,120.6900,23.6000,22.00,0.5
2017-11-22 22:20:10,5.2,120.6000,23.7100,16.00,0.0
2017-11-12 06:54:20,3.6,122.0800,24.6800,55.00,0.0
2017-11-11 20:22:53,5.0,120.6900,23.6800,20.00,9.5
2017-11-11 19:14:40,4.1,120.6200,23.7100,10.00,4.5
